company,ticker,region,industry,segment,sub_bucket,included,upside_to_pt,downside_to_bear,upside_to_bull,bull_bear_skew,prob_3m_base,prob_3m_bull,prob_12m_base,prob_12m_bull
Vanguard International Semiconductor,5347.TWO,Asia/Pacific,Greater China Technology Semiconductors,Semi Production,Foundry,True,0.0317460317460319,-0.365079365079365,0.507936507936508,1.3913043478260874,,,,
WIN Semiconductors Corp,3105.TWO,Asia/Pacific,Greater China Technology Semiconductors,Semi Production,Foundry,True,-0.471544715447154,-0.695121951219512,0.0162601626016261,0.023391812865497203,,,,
DB Insurance Co Ltd,005830.KS,Asia/Pacific,S. Korea Financials,,,False,-0.176276771004942,-0.489291598023064,-0.0115321252059308,-0.023569023569023566,,,,
Doosan Enerbility,034020.KS,Asia/Pacific,S. Korea Industrials,Power Supply,Fuel Cells,True,0.137538779731127,-0.493278179937952,0.602895553257497,1.2222222222222225,,,,
Hanwha Life Insurance,088350.KS,Asia/Pacific,S. Korea Financials,,,False,-0.368530020703934,-0.523809523809524,0.00414078674948248,0.007905138339921096,,,,
Samsung Fire & Marine,000810.KS,Asia/Pacific,S. Korea Financials,,,False,-0.0697674418604651,-0.338103756708408,0.180679785330948,0.5343915343915339,,,,
Samsung Life Insurance,032830.KS,Asia/Pacific,S. Korea Financials,,,False,-0.197080291970803,-0.542579075425791,-0.00729927007299269,-0.013452914798206253,,,,
ASMPT Ltd,0522.HK,Asia/Pacific,Greater China Technology Semiconductors,Semi Production,Semi Capital Equipment,True,-0.031945788964182,-0.4675701839303,0.210067763794773,0.44927536231884174,,,,
China Resources Microelectronics Limited,688396.SS,Asia/Pacific,Greater China Technology Semiconductors,,,False,-0.330767943784507,-0.682114773297641,0.422118119457922,0.6188373804267843,,,,
Elan Microelectronics Corp,2458.TW,Asia/Pacific,Greater China Technology Semiconductors,,,False,0.218487394957983,-0.361344537815126,0.781512605042017,2.16279069767442,,,,
Empyrean Technology Co Ltd,301269.SZ,Asia/Pacific,Greater China Technology Semiconductors,Semi Production,Semi Design Services,True,0.0887058600776296,-0.365710498911294,0.486320174192938,1.32979549572871,,,,
Hangzhou Silan Microelectronics Co. Ltd.,600460.SS,Asia/Pacific,Greater China Technology Semiconductors,,,False,-0.370277078085642,-0.606423173803526,0.136649874055416,0.22533748701973083,,,,
JCET Group Co Ltd,600584.SS,Asia/Pacific,Greater China Technology Semiconductors,Semi Production,OSAT,True,0.0513765445480163,-0.29330153912855,0.723390418382831,2.466371027346635,,,,
Shanghai Anlogic Infotech Co Ltd,688107.SS,Asia/Pacific,Greater China Technology Semiconductors,,,False,0.0285714285714285,-0.326984126984127,0.917460317460317,2.805825242718445,,,,
